,n1_field,n1_energy,n2_field,n2_energy
123,-87.6876876876877,-1.0099939617039624e-24,-87.6876876876877,-1.1219525149149538e-24
124,-87.58758758758759,-1.0078054673712748e-24,-87.58758758758759,-1.1195400484206475e-24
125,-87.4874874874875,-1.0056189994666217e-24,-87.4874874874875,-1.1171297451876547e-24
126,-87.38738738738739,-1.0034345592811663e-24,-87.38738738738739,-1.114721606782298e-24
127,-87.2872872872873,-1.0012521481060714e-24,-87.2872872872873,-1.1123156347709941e-24
128,-87.18718718718719,-9.990717672325e-25,-87.18718718718719,-1.1099118307200659e-24
129,-87.0870870870871,-9.968934179518974e-25,-87.0870870870871,-1.107510196196024e-24
130,-86.98698698698699,-9.947171015549562e-25,-86.98698698698699,-1.1051107327657555e-24
131,-86.8868868868869,-9.925428193331215e-25,-86.8868868868869,-1.1027134419961473e-24
132,-86.78678678678679,-9.903705725772744e-25,-86.78678678678679,-1.1003183254542744e-24
133,-86.6866866866867,-9.882003625784836e-25,-86.6866866866867,-1.097925384707306e-24
134,-86.58658658658659,-9.860321906276302e-25,-86.58658658658659,-1.095534621322505e-24
135,-86.4864864864865,-9.83866058015877e-25,-86.4864864864865,-1.0931460368673226e-24
136,-86.38638638638639,-9.817019660337289e-25,-86.38638638638639,-1.0907596329093042e-24
137,-86.2862862862863,-9.795399159721606e-25,-86.2862862862863,-1.088375411016277e-24
138,-86.18618618618619,-9.773799091219592e-25,-86.18618618618619,-1.0859933727558804e-24
139,-86.0860860860861,-9.752219467739113e-25,-86.0860860860861,-1.0836135196960357e-24
140,-85.98598598598599,-9.730660302183336e-25,-85.98598598598599,-1.0812358534051345e-24
141,-85.8858858858859,-9.709121607461071e-25,-85.8858858858859,-1.078860375451004e-24
142,-85.78578578578579,-9.687603396477364e-25,-85.78578578578579,-1.076487087401942e-24
143,-85.6856856856857,-9.66610568213444e-25,-85.6856856856857,-1.0741159908266221e-24
144,-85.58558558558559,-9.64462847733829e-25,-85.58558558558559,-1.0717470872933418e-24
145,-85.4854854854855,-9.623171794992077e-25,-85.4854854854855,-1.0693803783708688e-24
146,-85.38538538538539,-9.601735647996148e-25,-85.38538538538539,-1.0670158656275948e-24
147,-85.28528528528528,-9.580320049253668e-25,-85.28528528528528,-1.0646535506326637e-24
148,-85.18518518518519,-9.558925011664984e-25,-85.18518518518519,-1.0622934349548431e-24
149,-85.08508508508508,-9.53755054813138e-25,-85.08508508508508,-1.059935520163277e-24
150,-84.98498498498499,-9.516196671551321e-25,-84.98498498498499,-1.0575798078269212e-24
151,-84.88488488488488,-9.494863394823272e-25,-84.88488488488488,-1.0552262995150137e-24
152,-84.78478478478479,-9.473550730842875e-25,-84.78478478478479,-1.0528749967968864e-24
153,-84.68468468468468,-9.452258692510476e-25,-84.68468468468468,-1.0505259012417772e-24
154,-84.58458458458459,-9.430987292718898e-25,-84.58458458458459,-1.0481790144193003e-24
155,-84.48448448448447,-9.409736544364722e-25,-84.48448448448447,-1.0458343378989757e-24
156,-84.38438438438439,-9.388506460340773e-25,-84.38438438438439,-1.0434918732503235e-24
157,-84.28428428428428,-9.36729705353987e-25,-84.28428428428428,-1.0411516220429578e-24
158,-84.18418418418419,-9.346108336853898e-25,-84.18418418418419,-1.0388135858467747e-24
159,-84.08408408408408,-9.324940323173796e-25,-84.08408408408408,-1.0364777662315765e-24
160,-83.98398398398399,-9.303793025389565e-25,-83.98398398398399,-1.0341441647671653e-24
161,-83.88388388388388,-9.282666456389325e-25,-83.88388388388388,-1.0318127830235315e-24
162,-83.78378378378379,-9.261560629062138e-25,-83.78378378378379,-1.0294836225706651e-24
163,-83.68368368368368,-9.24047555629236e-25,-83.68368368368368,-1.0271566849786506e-24
164,-83.58358358358359,-9.219411250966233e-25,-83.58358358358359,-1.0248319718176663e-24
165,-83.48348348348348,-9.198367725968114e-25,-83.48348348348348,-1.0225094846577024e-24
166,-83.38338338338339,-9.17734499418048e-25,-83.38338338338339,-1.0201892250691254e-24
167,-83.28328328328328,-9.15634306848487e-25,-83.28328328328328,-1.0178711946222076e-24
168,-83.18318318318319,-9.13536196176188e-25,-83.18318318318319,-1.0155553948873154e-24
169,-83.08308308308308,-9.114401686890225e-25,-83.08308308308308,-1.0132418274346271e-24
170,-82.98298298298299,-9.093462256749563e-25,-82.98298298298299,-1.0109304938346973e-24
171,-82.88288288288288,-9.072543684212968e-25,-82.88288288288288,-1.0086213956577984e-24
172,-82.78278278278279,-9.051645982158215e-25,-82.78278278278279,-1.0063145344743907e-24
173,-82.68268268268268,-9.030769163459318e-25,-82.68268268268268,-1.0040099118551229e-24
174,-82.58258258258259,-9.00991324098653e-25,-82.58258258258259,-1.0017075293703612e-24
175,-82.48248248248248,-8.989078227611983e-25,-82.48248248248248,-9.994073885907543e-25
176,-82.38238238238239,-8.968264136205931e-25,-82.38238238238239,-9.971094910867627e-25
177,-82.28228228228228,-8.947470979634865e-25,-82.28228228228228,-9.948138384289407e-25
178,-82.18218218218219,-8.926698770765276e-25,-82.18218218218219,-9.92520432188031e-25
179,-82.08208208208208,-8.905947522463654e-25,-82.08208208208208,-9.902292739344e-25
180,-81.98198198198199,-8.88521724759273e-25,-81.98198198198199,-9.879403652387903e-25
181,-81.88188188188188,-8.86450795901241e-25,-81.88188188188188,-9.856537076717563e-25
182,-81.78178178178179,-8.843819669585424e-25,-81.78178178178179,-9.833693028040406e-25
183,-81.68168168168168,-8.8231523921698e-25,-81.68168168168168,-9.810871522061978e-25
184,-81.58158158158159,-8.802506139621686e-25,-81.58158158158159,-9.788072574487823e-25
185,-81.48148148148148,-8.781880924797226e-25,-81.48148148148148,-9.765296201023485e-25
186,-81.38138138138139,-8.761276760547866e-25,-81.38138138138139,-9.742542417375451e-25
187,-81.28128128128128,-8.740693659726931e-25,-81.28128128128128,-9.719811239251146e-25
188,-81.18118118118119,-8.720131635184926e-25,-81.18118118118119,-9.697102682353293e-25
189,-81.08108108108108,-8.699590699769533e-25,-81.08108108108108,-9.67441676239026e-25
190,-80.98098098098099,-8.679070866327495e-25,-80.98098098098099,-9.65175349506477e-25
191,-80.88088088088088,-8.658572147701794e-25,-80.88088088088088,-9.629112896083306e-25
192,-80.78078078078079,-8.63809455673729e-25,-80.78078078078079,-9.606494981150476e-25
193,-80.68068068068068,-8.617638106273205e-25,-80.68068068068068,-9.583899765970882e-25
194,-80.58058058058059,-8.597202809147816e-25,-80.58058058058059,-9.56132726624819e-25
195,-80.48048048048048,-8.576788678201284e-25,-80.48048048048048,-9.538777497685122e-25
196,-80.38038038038039,-8.556395726264364e-25,-80.38038038038039,-9.516250475988165e-25
197,-80.28028028028028,-8.536023966172515e-25,-80.28028028028028,-9.49374621685628e-25
198,-80.18018018018019,-8.515673410756492e-25,-80.18018018018019,-9.471264735994071e-25
199,-80.08008008008008,-8.49534407284517e-25,-80.08008008008008,-9.448806049102383e-25
200,-79.97997997997999,-8.475035965263664e-25,-79.97997997997999,-9.426370171883938e-25
201,-79.87987987987988,-8.454749100838027e-25,-79.87987987987988,-9.403957120037699e-25
202,-79.77977977977979,-8.434483492392432e-25,-79.77977977977979,-9.381566909266389e-25
203,-79.67967967967968,-8.41423915274447e-25,-79.67967967967968,-9.35919955526709e-25
